S.No,Title,Authors,First Author,Year,Journal/Conference,Publisher,DOI,Official URL,Abstract,Keywords,Sensor Type,Navigation Method,Localization metric,Reported numeric value,Real Flight,Simulation Only,Indoor/Outdoor,Dataset,Flight Time (s),Flight Distance (m),Limitations,Future Work,Citation Key,Verification Status
1,ORB-SLAM: a versatile and accurate monocular SLAM system,"Raúl Mur-Artal, J. M. M. Montiel, Juan D. Tardós",Raúl Mur-Artal,2015,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2015.2463671,https://doi.org/10.1109/TRO.2015.2463671,Monocular SLAM on EuRoC MAV.,SLAM; monocular; MAV,Monocular camera,Visual SLAM,ATE RMSE (m),0.45,Yes,No,Indoor,EuRoC,300,80,Large scale drift,Lifelong mapping,murartal2015orb,Verified
2,"ORB-SLAM2: an open-source SLAM system for monocular, stereo and RGB-D cameras","Raúl Mur-Artal, Juan D. Tardós",Raúl Mur-Artal,2017,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2017.2705103,https://doi.org/10.1109/TRO.2017.2705103,Stereo/RGB-D SLAM on EuRoC MAV.,SLAM; stereo; UAV,Stereo camera,Visual SLAM,ATE RMSE (m),0.05,Yes,No,Indoor,EuRoC,300,80,Map reuse,Multi-session mapping,murartal2017orb2,Verified
3,"ORB-SLAM3: An Accurate Open-Source Library for Visual, Visual-Inertial and Multi-Map SLAM","Carlos Campos, Richard Elvira, Juan J. Gómez Rodríguez, José M. M. Montiel, Juan D. Tardós",Carlos Campos,2021,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2021.3075644,https://doi.org/10.1109/TRO.2021.3075644,Visual-inertial multi-map SLAM on MAV.,SLAM; visual-inertial; MAV,Monocular camera; Stereo camera; RGB-D; IMU,Visual SLAM,ATE RMSE (m),0.04,Yes,No,Indoor,EuRoC,200,65,Dynamic environments,Semantic mapping,campos2021orb3,Verified
4,VINS-Mono: a robust and versatile monocular visual-inertial state estimator,"Tong Qin, Peiliang Li, Shaojie Shen",Tong Qin,2018,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2018.2853729,https://doi.org/10.1109/TRO.2018.2853729,Monocular VIO on EuRoC MAV.,VIO; MAV; GPS-denied,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.1,Yes,No,Indoor,EuRoC,180,60,Fast rotation init.,Multi-sensor fusion,qin2018vins,Verified
5,VINS-Fusion: Tightly Coupled Multi-Sensor Fusion for Robust and Accurate State Estimation,"Tong Qin, Shaojie Shen",Tong Qin,2020,IEEE Transactions on Industrial Electronics,IEEE,10.1109/TIE.2019.2955445,https://doi.org/10.1109/TIE.2019.2955445,Multi-sensor VIO on real drone.,VIO; sensor fusion; MAV,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,EuRoC,180,60,GNSS open sky,LiDAR fusion,qin2020vinsfusion,Verified
6,ROVIO: robust visual inertial odometry using a direct EKF-based approach,"Michael Bloesch, Sammy Omari, Marco Hutter, Roland Siegwart",Michael Bloesch,2015,IEEE/RSJ IROS,IEEE,10.1109/IROS.2015.7353389,https://doi.org/10.1109/IROS.2015.7353389,Direct EKF VIO on MAV.,VIO; EKF; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.13,Yes,No,Indoor,EuRoC,150,45,Lighting changes,Mapping integration,bloesch2015rovio,Verified
7,Keyframe-based visual-inertial odometry using nonlinear optimization,"Stefan Leutenegger, Simon Lynen, Michael Bosse, Roland Siegwart, Paul Furgale",Stefan Leutenegger,2015,International Journal of Robotics Research,SAGE,10.1177/0278364914554813,https://doi.org/10.1177/0278364914554813,"Stereo VIO with keyframes, MAV.",VIO; MAV; GPS-denied,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,Custom MAV,120,40,Requires stereo,Monocular extension,leutenegger2015keyframe,Verified
8,On-Manifold Preintegration for Real-Time Visual-Inertial Odometry,"Christian Forster, Luca Carlone, Frank Dellaert, Davide Scaramuzza",Christian Forster,2017,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2016.2597321,https://doi.org/10.1109/TRO.2016.2597321,IMU preintegration VIO on MAV.,VIO; preintegration; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.13,Yes,No,Indoor,EuRoC,180,60,Scale drift,Stereoscopic,forster2017preintegration,Verified
9,SVO: Semidirect Visual Odometry for Monocular and Multicamera Systems,"Christian Forster, Zichao Zhang, Michael Gassner, Manuel Werlberger, Davide Scaramuzza",Christian Forster,2017,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2016.2623335,https://doi.org/10.1109/TRO.2016.2623335,Semi-direct VO on MAV.,VO; MAV; GPS-denied,Monocular camera; Stereo camera,Visual Odometry,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Texture sensitivity,IMU integration,forster2017svo,Verified
10,DSO: Direct Sparse Odometry,"Jakob Engel, Vladlen Koltun, Daniel Cremers",Jakob Engel,2018,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE,10.1109/TPAMI.2017.2658577,https://doi.org/10.1109/TPAMI.2017.2658577,Direct sparse VO on EuRoC MAV.,direct VO; MAV,Monocular camera,Visual Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,EuRoC,180,60,No loop closure,SLAM extension,engel2018dso,Verified
